G040018,G053000,requires,linkedToParent
G040018,G053001,requires,linkedToParent
G040018,GGSPRPD,requires,linkedToParent
G040018,J053001,requires,linkedToParent
G050506,G053000,requires,linkedToParent
G050506,G053001,requires,linkedToParent
G050506,GGSPRPD,requires,linkedToParent
G053013,G053000,requires,linkedToParent
G053013,G053001,requires,linkedToParent
G053013,GGSPRPD,requires,linkedToParent
G053014,G053000,requires,linkedToParent
G053014,G053001,requires,linkedToParent
G053014,GGSPRPD,requires,linkedToParent
G053015,G053000,requires,linkedToParent
G053015,G053001,requires,linkedToParent
G053015,GGSPRPD,requires,linkedToParent
G053021,G053000,requires,linkedToParent
G053021,G053001,requires,linkedToParent
G053021,GGSPRPD,requires,linkedToParent
G053022,G053000,requires,linkedToParent
G053022,G053001,requires,linkedToParent
G053022,GGSPRPD,requires,linkedToParent
G053030,G053000,requires,linkedToParent
G053030,G053001,requires,linkedToParent
G053030,GGSPRPD,requires,linkedToParent
G054500,G053000,requires,linkedToParent
G054500,G053001,requires,linkedToParent
G054500,GGSPRPD,requires,linkedToParent
G057020,GGSPRPD,requires,linkedToParent
G057046,GGSPRPD,requires,linkedToParent
G057056,GGSPRPD,requires,linkedToParent
G057181,G053000,requires,linkedToParent
G057184,G053000,requires,linkedToParent
G057185,G053000,requires,linkedToParent
G057186,G053000,requires,linkedToParent
G057188,G053000,requires,linkedToParent
G057191,G053000,requires,linkedToParent
G057194,G053000,requires,linkedToParent
G057195,G053000,requires,linkedToParent
G057220,GGSPRPD,requires,linkedToParent
G057221,GGSPRPD,requires,linkedToParent
G057223,GGSPRPD,requires,linkedToParent
G057224,GGSPRPD,requires,linkedToParent
G057300,G053000,requires,linkedToParent
G057300,G053001,requires,linkedToParent
G057300,GGSPRPD,requires,linkedToParent
G057301,G053000,requires,linkedToParent
G057301,G053001,requires,linkedToParent
G057301,GGSPRPD,requires,linkedToParent
G057302,G053000,requires,linkedToParent
G057302,G053001,requires,linkedToParent
G057302,GGSPRPD,requires,linkedToParent
G057303,G053000,requires,linkedToParent
G057303,G053001,requires,linkedToParent
G057303,GGSPRPD,requires,linkedToParent
G057304,G053000,requires,linkedToParent
G057304,G053001,requires,linkedToParent
G057304,GGSPRPD,requires,linkedToParent
G057305,G053000,requires,linkedToParent
G057305,G053001,requires,linkedToParent
G057305,GGSPRPD,requires,linkedToParent
G057370,G053000,requires,linkedToParent
G057371,G053000,requires,linkedToParent
G057372,G053000,requires,linkedToParent
G057373,G053000,requires,linkedToParent
G057375,G053000,requires,linkedToParent
G058310,G053000,requires,linkedToParent
G058311,G053000,requires,linkedToParent
G058312,G053000,requires,linkedToParent
G058313,G053000,requires,linkedToParent
G058314,G053000,requires,linkedToParent
G058315,G053000,requires,linkedToParent
G058323,G053000,requires,linkedToParent
G058323,G053001,requires,linkedToParent
G058326,G053000,requires,linkedToParent
G058326,G053001,requires,linkedToParent
G058327,GGSPRPD,requires,linkedToParent
G058330,G053000,requires,linkedToParent
G058331,G053000,requires,linkedToParent
G058332,G053000,requires,linkedToParent
G058333,G053000,requires,linkedToParent
G058334,G053000,requires,linkedToParent
G058335,G053000,requires,linkedToParent
G058336,G053000,requires,linkedToParent
G058337,G053000,requires,linkedToParent
G058338,G053000,requires,linkedToParent
