G101995D,Galaxy S23 Ultra 5G 512GB Lavender,N,Y,Device
G101996A,Galaxy S23+ 5G 256GB Black,N,Y,Device
G101996B,Galaxy S23+ 5G 256GB Cream,N,Y,Device
G101996C,Galaxy S23+ 5G 256GB Green,N,Y,Device
G101996D,Galaxy S23+ 5G 256GB Lavender,N,Y,Device
G101997A,Galaxy S23+ 5G 512GB Black,N,Y,Device
G101997B,Galaxy S23+ 5G 512GB Cream,N,Y,Device
G101997C,Galaxy S23+ 5G 512GB Green,N,Y,Device
G101997D,Galaxy S23+ 5G 512GB Lavender,N,Y,Device
G102002A,Galaxy A14 4G 64GB - Black,N,Y,Device
G102002B,Galaxy A14 4G 64GB - Green,N,Y,Device
G102002C,Galaxy A14 4G 64GB - Silver,N,Y,Device
G102005A,iPad Wi-Fi 64GB Blue (10th Gen),N,Y,Device
G102005B,iPad Wi-Fi 64GB Yellow (10th Gen),N,Y,Device
G102005C,iPad Wi-Fi 64GB Pink (10th Gen),N,Y,Device
G102005D,iPad Wi-Fi 64GB Silver (10th Gen),N,Y,Device
G102006A,HomePod - Midnight,N,Y,Device
G102006B,HomePod - White,N,Y,Device
G102042A,Galaxy A34 5G 128GB - Black,N,Y,Device
G102042B,Galaxy A34 5G 128GB - Green,N,Y,Device
G102042C,Galaxy A34 5G 128GB - Violet,N,Y,Device
G102042D,Galaxy A34 5G 128GB - Silver,N,Y,Device
G102043A,Galaxy A34 5G 256GB - Green,N,Y,Device
G102043B,Galaxy A34 5G 256GB - Violet,N,Y,Device
G102043C,Galaxy A34 5G 256GB - Black,N,Y,Device
G102043D,Galaxy A34 5G 256GB - Silver,N,Y,Device
G102044A,Galaxy A54 5G 128GB - Black,N,Y,Device
G102044B,Galaxy A54 5G 128GB - Green,N,Y,Device
G102044C,Galaxy A54 5G 128GB - Violet,N,Y,Device
G102044D,Galaxy A54 5G 128GB - White,N,Y,Device
G102061A,Honor X7a 4G,N,Y,Device
G102061B,Honor X7a 4G,N,Y,Device
G102061C,Honor X7a 4G,N,Y,Device
G102062A,Sony Xperia 1 V ,N,Y,Device
G102062B,Sony Xperia 1 V,N,Y,Device
G102063A,Sony Xperia 10 V,N,Y,Device
G102063B,Sony Xperia 10 V,N,Y,Device
G102063C,Sony Xperia 10 V,N,Y,Device
G102063D,Sony Xperia 10 V,N,Y,Device
G102107A,Galaxy Z Flip5 256GB Mint,N,Y,Device
G102107B,Galaxy Z Flip5 256GB Lavender,N,Y,Device
G102107C,Galaxy Z Flip5 256GB Graphite,N,Y,Device
G102107D,Galaxy Z Flip5 256GB Cream,N,Y,Device
G102108A,Galaxy Z Flip5 512GB Mint,N,Y,Device
G102108B,Galaxy Z Flip5 512GB Lavender,N,Y,Device
G102108C,Galaxy Z Flip5 512GB Graphite,N,Y,Device
G102108D,Galaxy Z Flip5 512GB Cream,N,Y,Device
G102109A,Galaxy Z Fold5 256GB Icy Blue,N,Y,Device
G102109B,Galaxy Z Fold5 256GB Cream,N,Y,Device
G102109C,Galaxy Z Fold5 256GB Phantom Black,N,Y,Device
G102110A,Galaxy Z Fold5 512GB Icy Blue,N,Y,Device
G102110B,Galaxy Z Fold5 512GB Cream,N,Y,Device
G102110C,Galaxy Z Fold5 512GB Phantom Black,N,Y,Device
G102111A,Galaxy Watch6 BT 40mm Graphite,N,Y,Device
G102111B,Galaxy Watch6 BT 40mm Cream,N,Y,Device
G102112A,Galaxy Watch6 BT 44mm Graphite,N,Y,Device
G102112B,Galaxy Watch6 BT 44mm Silver,N,Y,Device
G102113A,Galaxy Watch6 Classic BT 43mm Black,N,Y,Device
G102113B,Galaxy Watch6 Classic BT 43mm Silver,N,Y,Device
G102114A,Galaxy Watch6 Classic BT 47mm Black,N,Y,Device
G102114B,Galaxy Watch6 Classic BT 47mm Silver,N,Y,Device
G102127A,iPhone 15 128GB Black,N,Y,Device
G102127B,iPhone 15 128GB Pink,N,Y,Device
G102127C,iPhone 15 128GB Yellow,N,Y,Device
G102127D,iPhone 15 128GB Blue,N,Y,Device
G102127E,iPhone 15 128GB Green,N,Y,Device
G102128A,iPhone 15 256GB Black,N,Y,Device
G102128B,iPhone 15 256GB Pink,N,Y,Device
G102128C,iPhone 15 256GB Yellow,N,Y,Device
G102128D,iPhone 15 256GB Blue,N,Y,Device
G102128E,iPhone 15 256GB Green,N,Y,Device
G102129A,iPhone 15 512GB Black,N,Y,Device
G102129B,iPhone 15 512GB Pink,N,Y,Device
G102129C,iPhone 15 512GB Yellow,N,Y,Device
G102129D,iPhone 15 512GB Blue,N,Y,Device
G102129E,iPhone 15 512GB Green,N,Y,Device
G102130A,iPhone 15 Plus 128GB Black,N,Y,Device
G102130B,iPhone 15 Plus 128GB Pink,N,Y,Device
G102130C,iPhone 15 Plus 128GB Yellow,N,Y,Device
G102130D,iPhone 15 Plus 128GB Blue,N,Y,Device
G102130E,iPhone 15 Plus 128GB Green,N,Y,Device
G102131A,iPhone 15 Plus 256GB Black,N,Y,Device
G102131B,iPhone 15 Plus 256GB Pink,N,Y,Device
G102131C,iPhone 15 Plus 256GB Yellow,N,Y,Device
G102131D,iPhone 15 Plus 256GB Blue,N,Y,Device
G102131E,iPhone 15 Plus 256GB Green,N,Y,Device
G102132A,iPhone 15 Plus 512GB Black,N,Y,Device
G102132B,iPhone 15 Plus 512GB Pink,N,Y,Device
G102132C,iPhone 15 Plus 512GB Yellow,N,Y,Device
G102132D,iPhone 15 Plus 512GB Blue,N,Y,Device
