G101456B,G101456B,Show,DI_YES,Digital Display,DT_DISPLAY
G101456B,G101456B,Standalone,ST_STAND,Product Sale Type,DT_SALETYP
G101470,G101470,Apple,DA01_2,Brand,DA01
G101470,G101470,Apple AirTag,DA02_69,Model,DA02
G101470,G101470,Current,PH_CURR,Product Phase,DT_PHASE
G101470,G101470,Device,PT_DEVICE,Product Type,DT_PRODTYP
G101470,G101470,Guernsey,IS_GSY,Island,DT_ISLAND
G101470,G101470,Mobile Extras,PG_MOBEXT,Product Group,DT_PRODGRP
G101470,G101470,Show,DI_YES,Digital Display,DT_DISPLAY
G101470,G101470,Standalone,ST_STAND,Product Sale Type,DT_SALETYP
G101470,G101470,Tag,PS_TAG,Product Sub Group,DT_PRODSUB
G101471,G101471,Apple,DA01_2,Brand,DA01
G101471,G101471,Apple AirTag,DA02_69,Model,DA02
G101471,G101471,Current,PH_CURR,Product Phase,DT_PHASE
G101471,G101471,Device,PT_DEVICE,Product Type,DT_PRODTYP
G101471,G101471,Guernsey,IS_GSY,Island,DT_ISLAND
G101471,G101471,Mobile Extras,PG_MOBEXT,Product Group,DT_PRODGRP
G101471,G101471,Show,DI_YES,Digital Display,DT_DISPLAY
G101471,G101471,Standalone,ST_STAND,Product Sale Type,DT_SALETYP
G101471,G101471,Tag,PS_TAG,Product Sub Group,DT_PRODSUB
G101572,G101572,Current,PH_CURR,Product Phase,DT_PHASE
G101572,G101572,Device,PT_DEVICE,Product Type,DT_PRODTYP
G101572,G101572,Guernsey,IS_GSY,Island,DT_ISLAND
G101572,G101572,Home Device,PG_HOMEDEV,Product Group,DT_PRODGRP
G101572,G101572,Router Device,PS_FIBROUT,Product Sub Group,DT_PRODSUB
G101572,G101572,Show,DI_YES,Digital Display,DT_DISPLAY
G101572,G101572,Standalone,ST_STAND,Product Sale Type,DT_SALETYP
G101572A,G101572A,Current,PH_CURR,Product Phase,DT_PHASE
G101572A,G101572A,Device,PT_DEVICE,Product Type,DT_PRODTYP
G101572A,G101572A,Fibre router 12,FibreRou12,Main service,P_CATEGORY
G101572A,G101572A,Guernsey,IS_GSY,Island,DT_ISLAND
G101572A,G101572A,Home Device,PG_HOMEDEV,Product Group,DT_PRODGRP
G101572A,G101572A,Router Device,PS_FIBROUT,Product Sub Group,DT_PRODSUB
G101572A,G101572A,Show,DI_YES,Digital Display,DT_DISPLAY
G101572A,G101572A,Standalone,ST_STAND,Product Sale Type,DT_SALETYP
G101572B,G101572B,Current,PH_CURR,Product Phase,DT_PHASE
G101572B,G101572B,Device,PT_DEVICE,Product Type,DT_PRODTYP
G101572B,G101572B,Fibre router 24,FibreRou24,Main service,P_CATEGORY
